Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (kgf/W),Thrust Load Cell (mV),Burst Current Cutoff (A),Pin State 1,Pin State 2,Pin State 3,Pin State 4,Debug 0,Debug 1,Debug 2,Debug 3,App message,
0.23368999999997908,1100,,,,0.012777322631952743,16.071964071195005,0.19774429354002018,0,0,3.178138837838964,0,-0.35434703689676345,0.1279227914210765,0.15,1,1,1,0,0,0,0,,
0.2373649999998743,1160,,,,0.03382621124260884,16.066067991018645,0.5288755384200303,0,0,8.496949610963828,0,-0.33329814828610743,0.382919914095312,0.1,1,1,1,0,0,0,0,,
3.7366269999998742,1220,,,,0.05730923232658948,16.05755880050056,0.9898755433792047,0,0,15.894985555038607,0,-0.30981512720212667,0.7734406633847755,0.05,1,1,1,0,0,0,0,,
7.238134749999841,1280,,,,0.08094176568872345,16.046208785082392,1.5494479540209152,0,0,24.862765535098823,0,-0.2861825938399928,1.2731716008193585,0.15,1,1,1,0,0,0,0,,
10.764625749999857,1340,,,,0.10329588251663806,16.032075842327384,2.2108249706835026,0,0,35.444114000816356,0,-0.26382847701207834,1.8811108255159692,0.05,1,1,1,0,0,0,0,,
14.262315749999834,1400,,,,0.12442768408300628,16.019043726323115,2.9513829507512552,0,0,47.27833148667637,0,-0.24269667544570997,2.5720989218147805,0.05,1,1,1,0,0,0,0,,
17.763765249999878,1460,,,,0.14494052180028957,16.00192342133516,3.8087603127686736,0,0,60.947490968497824,0,-0.2221838377284267,3.364439668649166,0.05,1,1,1,0,0,0,0,,
21.26344049999987,1520,,,,0.17161451181735793,15.980987221959234,4.959567971701693,0,0,79.25879056625256,0,-0.19550984771135832,4.382558319508972,0.05,1,1,1,0,0,0,0,,
24.76346999999987,1580,,,,0.2022494032897295,15.954787086452063,6.380658832786538,0,0,101.80203638507842,0,-0.1648749562389868,5.6373770417239175,0.1,1,1,1,0,0,0,0,,
28.26316974999987,1640,,,,0.24349377921415666,15.921848074810523,8.229675039078876,0,0,131.03162642886673,0,-0.12363058031455965,7.26994387841996,0.05,1,1,1,0,0,0,0,,
31.76480099999991,1700,,,,0.2877284792069134,15.870843383881422,10.647189793666403,0,0,168.97987497391676,0,-0.07939588032180292,9.40673326137569,0,1,1,1,0,0,0,0,,
35.26352199999984,1100,,,,0.01565793542144073,16.0684058398452,0.22326823439424529,0,0,3.5875637279050183,0,-0.3514664241072757,3.6419639504950494,0.1,1,1,1,0,0,0,0,,
38.763551749999856,1160,,,,0.03504932972392406,16.062630426319437,0.5511345450525402,0,0,8.852670700956917,0,-0.33207502980479225,1.5721148471505462,0.05,1,1,1,0,0,0,0,,
42.26348349999988,1220,,,,0.058299105962800045,16.052522127994287,1.0220148915555485,0,0,16.405916470543115,0,-0.30882525356591617,1.1937022467974392,0,1,1,1,0,0,0,0,,
45.764191499999875,1280,,,,0.08246036122800442,16.04029830556774,1.6138096762765044,0,0,25.885987305954796,0,-0.28466399830071193,1.4577481121567017,0.1,1,1,1,0,0,0,0,,
49.26500999999987,1340,,,,0.10453991620297157,16.026149926938785,2.309838730902789,0,0,37.017821811508284,0,-0.26258444332574477,2.009612531777937,0.15,1,1,1,0,0,0,0,,
52.76473924999984,1400,,,,0.12824188150201293,16.008860075034963,3.159086477922455,0,0,50.573373261744415,0,-0.23888247802670343,2.7494070011077065,0.15,1,1,1,0,0,0,0,,
56.26556899999988,1460,,,,0.14948317730384303,15.991504490532023,4.108133859941193,0,0,65.69524757064391,0,-0.21764118222487322,3.611860724762699,0.2,1,1,1,0,0,0,0,,
59.764273499999874,1520,,,,0.1766504580418562,15.965238730093068,5.353787353955136,0,0,85.4744916978865,0,-0.1904739014868601,4.719244823500958,0.05,1,1,1,0,0,0,0,,
63.26471074999987,1580,,,,0.21236343850471534,15.936966398415844,6.861541086447036,0,0,109.35215089015321,0,-0.15476092102400094,6.071774231035623,0.05,1,1,1,0,0,0,0,,
66.76450399999985,1640,,,,0.2543338337498059,15.899918845265898,8.85715294613615,0,0,140.82801055919091,0,-0.11279052577891036,7.819437729544697,0.1,1,1,1,0,0,0,0,,
70.26467974999989,1700,,,,0.2974354850636246,15.851096439891624,11.213194461678127,0,0,177.74141740465785,0,-0.06968887446509164,9.9606056873539,0.15,1,1,1,0,0,0,0,,
73.7650249999999,1100,,,,0.014660503002464284,16.06139273381728,0.22835520153432226,0,0,3.667701530686293,0,-0.3524638565262519,3.8279886550626685,0,1,1,1,0,0,0,0,,
77.26602199999988,1160,,,,0.035970233711733274,16.054740132144904,0.5685922391166759,0,0,9.128600618787589,0,-0.33115412581698306,1.6450962167402747,0,1,1,1,0,0,0,0,,
80.76528699999983,1220,,,,0.05970441505479067,16.044769173540324,1.0524392795205624,0,0,16.88614524737011,0,-0.3074199444739256,1.2375736712060499,0.05,1,1,1,0,0,0,0,,
84.26533799999986,1280,,,,0.08395887134791742,16.029066085777885,1.6639354673977724,0,0,26.671331318004594,0,-0.2831654881807989,1.5072604916570702,0.05,1,1,1,0,0,0,0,,
87.76487174999991,1340,,,,0.10662126995304906,16.014687320889728,2.401309270088847,0,0,38.456216555876026,0,-0.26050308957566726,2.0832425695935144,0,1,1,1,0,0,0,0,,
91.2651364999999,1400,,,,0.13055915975949547,15.997615568547857,3.2592615681797397,0,0,52.14041529336132,0,-0.23656519976922072,2.834256355804839,0.05,1,1,1,0,0,0,0,,
